    X[m]        Y[m]      ZGround[m]       GroundZ0[m]       Height[m]    Wspd_2D[m/s]  Wspd_3D[m/s]  Direction[º]   Turb.Intensity  
 168           204 
6.582773e+05  7.193211e+06  9.638412e+02  7.065281e-02  1.000000e+01  3.232433e+00  3.233597e+00  8.05e+01  1.337183e-01
6.582773e+05  7.193411e+06  9.567626e+02  8.806797e-02  1.000000e+01  3.129643e+00  3.129928e+00  8.03e+01  1.280789e-01
6.582773e+05  7.193611e+06  9.613056e+02  1.080989e-01  1.000000e+01  3.264887e+00  3.266253e+00  7.93e+01  1.373932e-01
6.582773e+05  7.193811e+06  9.590787e+02  1.378139e-02  1.000000e+01  3.686708e+00  3.687182e+00  7.90e+01  1.010887e-01
6.582773e+05  7.194011e+06  9.756682e+02  1.044432e-02  1.000000e+01  3.696554e+00  3.697784e+00  7.89e+01  9.805948e-02
6.582773e+05  7.194211e+06  9.660506e+02  2.794114e-02  1.000000e+01  3.858690e+00  3.860263e+00  7.71e+01  9.641751e-02
6.582773e+05  7.194411e+06  9.803547e+02  1.000000e-04  1.000000e+01  3.944965e+00  3.946149e+00  7.81e+01  6.126545e-02
6.582773e+05  7.194611e+06  9.934252e+02  1.753633e-02  1.000000e+01  3.872324e+00  3.875000e+00  7.71e+01  8.484540e-02
6.582773e+05  7.194811e+06  9.975144e+02  7.722256e-04  1.000000e+01  3.890416e+00  3.890560e+00  7.69e+01  8.722670e-02
6.582773e+05  7.195011e+06  9.929928e+02  2.793059e-03  1.000000e+01  3.575884e+00  3.590311e+00  7.82e+01  7.925525e-02
6.582773e+05  7.195211e+06  9.941588e+02  1.791780e-02  1.000000e+01  3.548371e+00  3.576279e+00  7.38e+01  9.025331e-02
6.582773e+05  7.195411e+06  9.893416e+02  2.006223e-04  1.000000e+01  3.829066e+00  3.855963e+00  7.12e+01  7.493898e-02
6.582773e+05  7.195611e+06  9.767634e+02  1.424139e-02  1.000000e+01  3.774271e+00  3.777267e+00  7.14e+01  8.639224e-02
6.582773e+05  7.195811e+06  9.476895e+02  2.198142e-03  1.000000e+01  3.269911e+00  3.271554e+00  7.51e+01  7.814394e-02
6.582773e+05  7.196011e+06  9.441851e+02  1.000000e-04  1.000000e+01  3.463156e+00  3.463156e+00  7.23e+01  6.433269e-02
6.582773e+05  7.196211e+06  9.737040e+02  1.000000e-04  1.000000e+01  3.483202e+00  3.491207e+00  7.47e+01  6.503504e-02
6.582773e+05  7.196411e+06  9.207705e+02  1.000000e-04  1.000000e+01  3.150832e+00  3.154721e+00  7.94e+01  7.868317e-02
